Institución Padre,Dirección,Comuna,Región,Coordenadas Geográficas,Rubro de gasto,Periodo,Gasto
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",RESMAS PAPEL FOTOCOPIA - SECPLA - SOLICITUD 600 - Orden de Compra generada por invitación a compra ágil: 2432-677-COT24,Mayo/2024,140420
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 1, SP.95495, SEP, ESCUELA LEONARDO DA VINCI, ADQ. RESMAS PAPEL FOTOCOPIA TAMAÑO CARTA Y OFICIO  Orden de Compra generada por invitación a compra ágil: 2280-580-COT24",Mayo/2024,800275
I MUNICIPALIDAD VALDIVIA,PRO-RETENCIÓN - ESCUELA MULATO GIL DE CASTRO- AV. ARGENTINA  N°3663 ,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","7, SP.94987 - ESCUELA ESPAÑA, ADQ. RESMAS DE PAPEL CARTA Y OFICIO PARA USO PEDAGOGÍCO DE LOS ALUMNOS. DESDE 2280-72-R124",Mayo/2024,3652824
ILUSTRE MUNICIPALIDAD DE PICHILEMU,CARRERA 855,Pichilemu,Región del Libertador General Bernardo O´Higgins,"-34.387141099999994,-72.0044445","RESMAS DE PAPEL PARA DEPTO DE SALUD, PICHILEMU.",Mayo/2024,843115
Ilustre Municipalidad de Yerbas Buenas,Avda. Centenario 101,Maule,Región del Maule ,"-35.7477097,-71.5828535",RESMAS DE PAPEL PARA ESTABLECIMIENTOS DE LA COMUNA,Mayo/2024,621501
MUNICIPALIDAD DE LOS ANDES,ESMERALDA N° 536 LOS ANDES,Los Andes,Región de Valparaíso ,"-38.932738549999996,-72.03295800911474",ADQUISICION RESMAS DE PAPEL OFICIO Y CARTA.-,Mayo/2024,4019463
SUBSECRETARIA DE SALUD PUBLICA,Mac-Iver 541,Santiago,Región Metropolitana de Santiago,"-33.4364407,-70.6468014",[BODEGA] SC N 1039 EXP 29536/2024 Adquisición papel fotocopia Oficio Stock Bodega ,Mayo/2024,6270919
UNIVERSIDAD DE CHILE,,Santiago,Región Metropolitana de Santiago,"-33.443867,-70.6506654",Resma papel carta (Sistemas),Mayo/2024,327964
UNIVERSIDAD DE VALPARAISO,,Valparaíso,Región de Valparaíso ,"-33.04391915,-71.61711731823237",MATERIAL DE OFICINA #2024050231001302 Resmas de papel - TIPE I Filosofía UVA 21991,Mayo/2024,81872
I MUNICIPALIDAD DE RENAICO,,Renaico,Región de la Araucanía ,"-37.67150815,-72.58412355846157","PAPEL FOTOCOPIA, LICEO D.S.M.",Junio/2024,741370
I MUNICIPALIDAD DE TALCA,4 Norte	Nº 944,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",RESMA DE PAPEL TAMAÑO CARTA  - DCS,Junio/2024,4967655
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","1, SP.96181, SEP, ESCUELA LEONARDO DA VINCI, ADQ. RESMAS PAPEL FOTOCOPIA TAMAÑO CARTA Y OFICIO.   Orden de Compra generada por invitación a compra ágil: 2280-710-COT24",Junio/2024,821695
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_ REF- 732 PAPEL PARA IMPRESORA SONY UPP-210 TYPE ii5153-1070-COT24,Junio/2024,315261
UNIVERSIDAD DE CHILE,DR. CARLOS LORCA 999,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_ STOCK MAYO PAPEL FOTOCOPIA CARTA _5153-1126-CM24,Junio/2024,24600348
UNIVERSIDAD DE CHILE,DR. CARLOS LORCA 999,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_ STOCK MAYO PAPEL FOTOCOPIA OFICIO_5153-1127-CM24,Junio/2024,3889767
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,GRAN BRETAÑA Nº 40 PLAYA ANCHA,Valparaíso,Región de Valparaíso ,"-33.0300017,-71.6340727",SC 34043-34105 (CPV) PAPEL IMPRESIÓN OFICIO Y CARTA PARA DECANATO SALUD VALPARAÍSO Y PEDAGOGÍA INGLÉS CAMPUS SAN FELIPE,Junio/2024,958783
Municipalidad de Gorbea, Blanco Encalada 995	,Gorbea,Región de la Araucanía ,"-39.1023675,-72.6754981",RESMAS DE PAPEL PARA LA ESCUELA PBRO. J.A .GOMEZ,Junio/2024,1102416
UNIVERSIDAD DE TARAPACA,Av La Tirana 4802,Arica,Región de Arica y Parinacota,"-18.4901565,-70.2961677979052","RESMAS PAPEL DE FOTOCOPIA, PSYCHE-UTA, O/C 2024060282",Junio/2024,139150
DIRECCION DE ABASTECIMIENTO DE LA ARMADA,Michimalongo s/n Las Canchas,Talcahuano,Región del Biobío ,"-36.6880231,-73.1144213",PAPEL IMPRESIÓN Orden de Compra: 3178-1987-CM24,Junio/2024,3730650
I MUNICIPALIDAD DE CARTAGENA,,Cartagena,Región de Valparaíso ,"-33.5472886,-71.6038022",ADQUISICION DE RESMAS DE PAPEL,Junio/2024,272098
I MUNICIPALIDAD DE CARTAGENA,MARIANO CASANOVA 210,Cartagena,Región de Valparaíso ,"-33.5472886,-71.6038022",ADQUISICION RESMAS DE PAPEL,Junio/2024,2079882
I MUNICIPALIDAD DE CORONEL,,Coronel,Región del Biobío ,"-37.0294737,-73.14622918699935","Liceo ""Rosita Renard"" Papel Fotocopia ",Junio/2024,1488595
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",83856 RESMAS DE PAPEL COLEGIO EL BOLDO DE CURICÓ  por invitación a compra ágil: 2440-880-COT24,Junio/2024,310352
I MUNICIPALIDAD DE LITUECHE,Cardenal Caro 796,Litueche,Región del Libertador General Bernardo O´Higgins,"-34.116684250000006,-71.7291245981032",PAPEL OFICIO ,Junio/2024,1062075
I MUNICIPALIDAD DE MAFIL,,Máfil,Región de Los Ríos,"-39.6646519,-72.95367349426073","Suministro de papel carta, SC. N°2199 - compra ágil: 3631-131-COT24",Junio/2024,314160
I MUNICIPALIDAD DE TALCAHUANO,DAEM TALCAHUANO TONGOY 220 HIGUERAS,Talcahuano,Región del Biobío ,"-36.7148019,-73.114765","RESMAS PAPEL, LICEO B-22, TALCAHUANO",Junio/2024,750890
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",SOL 162. RESMA PAPEL CARTA Y OFICIO. A-70 COT 1195999-127-COT24,Junio/2024,1559019
I MUNICIPALIDAD PEDRO AGUIRRE CERDA,,Pedro Aguirre Cerda,Región Metropolitana de Santiago,"-33.4882382,-70.66398334128455",ADQUISICION DE RESMAS DE PAPEL SEGUN SE DETALLA / PPD GIMNASIA INTEGRAL / SOL. 806.,Junio/2024,77350
Ilustre Municipalidad de Quirihue,Esmeralda	698,Quirihue,Región del Ñuble,"-36.282706399999995,-72.5396935462742","Tintas, tóner y resmas de papel",Junio/2024,1113800
Ilustre Municipalidad de Yerbas Buenas,Avda. Centenario 101,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",RESMAS DE PAPEL PARA SALA CUNA RAYITO DE LUZ,Junio/2024,629740
SERVICIO DE VIVIENDA Y URBANIZACION III REGION,"CHACABUCO 520, PISO 3",Copiapó,Región de Atacama ,"10.4162576,-75.464294",adq de resma papel oficio y carta,Junio/2024,2409502
UNIVERSIDAD DE CHILE,Pío Nono 140,Recoleta,Región Metropolitana de Santiago,"-33.443867,-70.6506654",50447 Resmas papel fotocopia carta- Orden de Compra: 5621-329-CM24,Junio/2024,1425620
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,GRAN BRETAÑA Nº 40 PLAYA ANCHA,Valparaíso,Región de Valparaíso ,"-33.031646,-71.6342713",SC 34206-34256-34424 (CPV) RESMAS PAPEL IMPRESIÓN TAMAÑO CARTA FACULTADES HUMANIDADES -CAMPUS SAN FELIPE - CIENCIAS DE LA SALUD ,Junio/2024,914735
FUERZA AEREA DE CHILE COMANDO LOGISTICO,PEDRO AGUIRRE CERDA 5500,Cerrillos,Región Metropolitana de Santiago,"-33.49138405,-70.7010048713825",402_004/2024_ADQ. PAPEL IMPRESION ,Julio/2024,6640200
I MUNICIPALIDAD DE CURACAVI,Avda. Ambrosio O¨Higgins Nº1305,Curacaví,Región Metropolitana de Santiago,"-33.4048881,-71.13658795656167",ADQUISICIÓN DE RESMAS DE PAPEL PARA ESCUELA CUYUNCAVÍ.,Julio/2024,2418900
I MUNICIPALIDAD DE CURICO,San Martín Nº 455,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",83854 RESMAS DE PAPEL CARTA Y OFICIO COLEGIO EL BOLDO DE CURICÓ ,Julio/2024,2167704
I MUNICIPALIDAD DE LA CISTERNA,,La Cisterna,Región Metropolitana de Santiago,"-33.53472265,-70.66443006783722",Resmas de papel FOMIL 2024 compra ágil: 2765-500-COT24,Julio/2024,46162
I MUNICIPALIDAD DE LAUTARO,OHIGGINS Nº 1096,Lautaro,Región de la Araucanía ,"-38.5338143,-72.43578123564073",RESMAS DE PAPEL PARA DSM (1275)	,Julio/2024,1405747
I MUNICIPALIDAD DE LINARES,,Linares,Región del Maule ,"-35.5953791,-71.73159",PAPEL OFICIO OP 430,Julio/2024,1479408
I MUNICIPALIDAD DE LINARES,,Linares,Región del Maule ,"-35.5953791,-71.73159",PAPEL  CARTA OP 431,Julio/2024,924273
I MUNICIPALIDAD DE LOS ANGELES,,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQUISICION DE RESMAS DE PAPEL PARA ESCUELA G-923 TENIENTE IGNACIO SERRANO.,Julio/2024,731636
I MUNICIPALIDAD DE NUNOA,,Ñuñoa,Región Metropolitana de Santiago,"-33.45414025,-70.59362964688049",ADQUISICION PAPEL FOTOCOPIA TAMAÑO OFICIO. Orden de Compra generada por invitación a compra ágil: 2376-576-COT24,Julio/2024,37842
I MUNICIPALIDAD DE PADRE LAS CASAS,Ramberga 760 ,Padre Las Casas,Región de la Araucanía ,"-38.77338615,-72.59711090989668",ADQ. DE PAPEL DE IMPRESIÓN PARA ESC. METRENCO (FDOS. SEP),Julio/2024,909696
I MUNICIPALIDAD DE QUILLECO,J. M. CARRERA N° 460,Quilleco,Región del Biobío ,"-37.4701516,-71.9797915",PAPEL FOTOCOPIA ESCUELA  ERMINDA GOMEZ DE POLIC,Julio/2024,87739
I MUNICIPALIDAD DE TEMUCO,Prat  0130  Temuco,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289",S137 ADQ. PAPEL DE IMPRESIÓN RESMAS DE OFICIO JARDINES INFANTILES UNIDAD AT A LA INFANCIA Orden de Compra: 5060-398-CM24,Julio/2024,2951843
CORP ADMINISTRATIVA DEL PODER JUDICIAL,"JUAN NOÉ N° 711, 5° PISO, OF. 39, ARICA",Arica,Región de Arica y Parinacota,"0,0",Adquisición de resmas de papel oficio para stock de bodega,Julio/2024,5817101
UNIVERSIDAD DE CHILE,"Diagonal Paraguay 257, oficina 1201",* ,Región Metropolitana de Santiago,"-33.443867,-70.6506654","5707-12-LQ22 Servicios de impresión de revistas, papelería corporativa_Diplomas Ceremonia de Clausura 2023",Julio/2024,1313760
CENTRO REFERENCIAL DE SALUD DR SALVADOR ALLENDE GOSSENS,Teniente Cruz 800 - PUDAHUEL,,,"-33.44534655,-70.74119011102081",REQ 443 PAPEL FOTOCOPIA,Julio/2024,2827083
DIRECCION SALUD RURAL,,Coyhaique,Región Aysén del General Carlos Ibáñez del Campo,"0,0",Resmas y Papeleria CESFAM La Junta: 3950-528-COT24,Julio/2024,755055
FUERZA AEREA DE CHILE COMANDO LOGISTICO,Avenida Las Condes Nº 8631,,,"-33.49138405,-70.7010048713825",BVS/AOL.Nº 033/PAPEL OFICIO/SDAO,Julio/2024,6205850
I MUNICIPALIDAD DE CANETE,ARTURO PRAT 220 ,Cañete,Región del Biobío ,"-37.79972,-73.3991188",ADQUISICION DE RESMAS DE PAPEL PARA LICEO ALONSO DE ERCILLA-FONDOS SEP 90%,Julio/2024,1136301
I MUNICIPALIDAD DE CANETE,ARTURO PRAT 220 ,Cañete,Región del Biobío ,"-37.79972,-73.3991188",RESMAS DE PAPEL PARA PREUNIVERSITARIO/JÓVENES/,Julio/2024,203519
I MUNICIPALIDAD DE CATEMU,,Catemu,Región de Valparaíso ,"-32.7787138,-70.9630788",RESMAS DE PAPEL OFICIO Y CARTA compra ágil: 4283-55-COT24,Julio/2024,806951
I MUNICIPALIDAD DE CODEGUA,"O""higgins 376",Codegua,Región del Libertador General Bernardo O´Higgins,"-34.0389815,-70.6670417",Compra de resmas de papel para Cesfam Codegua ,Julio/2024,784067
I MUNICIPALIDAD DE CURACAVI,Avda. Ambrosio O¨Higgins Nº1305,Curacaví,Región Metropolitana de Santiago,"-33.4048881,-71.13658795656167",ADQUISICIÓN DE RESMAS DE PAPEL FOTOCOPIA PARA ESCUELA FERNANDO CARVAJAL PINTO.,Julio/2024,322520
I MUNICIPALIDAD DE LOLOL,LOS AROMOS 85,Lolol,Región del Libertador General Bernardo O´Higgins,"-34.7286791,-71.6439954",Orden de Compra: 3038-156-CM24 RESMAS DE PAPEL ESC GALVARINO,Julio/2024,1723774
I MUNICIPALIDAD DE MONTEPATRIA,DIAGUITAS N°31,Monte Patria,Región de Coquimbo ,"-30.0224352,-70.6339359","Resmas de Papel Multiproposito, FOTOCOPIADORA",Julio/2024,793016
I MUNICIPALIDAD DE PENCO,O'Higgins # 500,Penco,Región del Biobío ,"-36.739382250000006,-72.99285203159288",PAPEL FOTOCOPIA CARTA Y OFICIO (P.636)Orden de Compra: 4494-583-CM24,Julio/2024,744107
I MUNICIPALIDAD DE PUREN,Urrutia 640,Purén,Región de la Araucanía ,"-38.0322967,-73.0730333",SUBV. SEP-ADQUISICIÓN DE RESMAS DE PAPEL ESC. HUITRANLEBU,Julio/2024,95308
I MUNICIPALIDAD DE SAN VICENTE,,San Vicente de Tagua Tagua,Región del Libertador General Bernardo O´Higgins,"-34.4392721,-71.07616568514135","ADQ. DE PAPEL FOTOCOPIA TAMAÑO OFICIO - CARTA , SEGUN compra ágil: 1050283-369-COT24",Julio/2024,1528376
I MUNICIPALIDAD DE SANTA JUANA,,Santa Juana,Región del Biobío ,"-37.1744663,-72.9367769",ADQ. DE RESMAS DE PAPEL DESTINADAS AL DPTO. DE SALUD DE SANTA JUANA,Julio/2024,432779
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",PAPEL IMPRESION ESCUELA VILLA LA PAZ // SEP // Orden de Compra: 2294-1310-CM24,Julio/2024,753984
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",SM 201. RESMAS PAPEL CARTA Y OFICIO. E-34  COT 1195999-156-COT24,Julio/2024,672469
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 2 SP 97031, SEP , ESCUELA EL BOSQUE, ADQUISICIÓN RESMAS DE PAPEL FOTOCOPIA Orden de Compra generada por invitación a compra ágil: 2280-987-COT24",Julio/2024,230146
ILUSTRE MUNICIPALIDAD DE MACHALI,Castro N°250,Machalí,Región del Libertador General Bernardo O´Higgins,"-34.1826662,-70.65064599572574",Compra de Resmas de papel para Establecimientos Educacionales. ,Julio/2024,744565
Ilustre Municipalidad de Quirihue,Independencia 699	,Quirihue,Región del Ñuble,"-36.282706399999995,-72.5396935462742",Resmas Papel Liceo Carlos Montané Castro,Julio/2024,1015665
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,"Cuevas N° 530, Edificio Interior Piso 1",Rancagua,Región del Libertador General Bernardo O´Higgins,"0,0","Resmas de Papel de impresión tamaño oficio, para la Dirección de Vialidad Región de O´Higgins",Julio/2024,1249500
SERVICIO DE VIVIENDA Y URBANIZACION IV REGION,Almagro 372,La Serena,Región de Coquimbo ,"-32.43876020204081,-60.81183902448979",ADQUISICION DE PAPEL DE IMPRESION,Julio/2024,2420460
SERVICIO ELECTORAL,Sin dirección Registrada para Unidad de Compra,Santiago,Región Metropolitana de Santiago,"-35.4263146,-71.66314927659991","743-Adquisición de resmas de papel blanco y colores oficio y doble carta a utilizar en Elecciones Generales de Gobernadores Regionales, Consejeros Regionales, Alcaldes y Concejales 2024 (UD_18/LP/501/2403001/423/FSD) ",Julio/2024,30531784
UNIVERSIDAD DE CHILE,Pío Nono 140,Recoleta,Región Metropolitana de Santiago,"-33.443867,-70.6506654",51078 - Adquisición de resmas de papel - Bodega,Julio/2024,20706000
FUERZA AEREA DE CHILE COMANDO LOGISTICO,Av. Pedro Aguirre Cerda # 5.500,Cerrillos,Región Metropolitana de Santiago,"-33.49138405,-70.7010048713825",004_112495/2024_papel fotocopia Orden de Compra: 3320-306-CM24,Julio/2024,662016
I MUNICIPALIDAD DE LAGO RANCO,calle Puerto Varas N°102,Lago Ranco,Región de Los Ríos,"-40.32062645,-72.48012016715423",COMPRA RESMAS PAPEL OFICINA DAEM,Julio/2024,695722
I MUNICIPALIDAD DE LLANQUIHUE,,Llanquihue,Región de los Lagos ,"-41.2565319,-73.0056137",ADQUISICION DE PAPEL PARA IMPRESION. Orden de Compra generada por invitación a compra ágil: 1437-748-COT24,Julio/2024,894642
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQUISICION DE RESMAS DE PAPEL PARA ESCUELA F-942 MILLANTU.,Julio/2024,7435120
I MUNICIPALIDAD DE MOSTAZAL,DAEM MOSTAZAL Calle Riquelme 65. Esquina de referencia:  San Guillermo con Riquelme,Mostazal,Región del Libertador General Bernardo O´Higgins,"-33.98006625,-70.71155859430769","ADQUISICIÓN DE RESMAS DE PAPEL, COLEGIO ANDRES BELLO COMUNA DE MOSTAZAL",Julio/2024,3728270
I MUNICIPALIDAD DE PETORCA,Silva 225,Petorca,Región de Valparaíso ,"-32.2509587,-70.9305233",ADQUISICIÓN DE RESMAS DE PAPEL PARA REPOSICIÓN BODEGA MUNICIPAL A TRAVÉS DE CONVENIO MARCO,Julio/2024,1495235
I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,"LOS ACACIOS  43, VILLA SAN PEDRO",San Pedro de La Paz,Región del Biobío ,"-36.84142335,-73.10317815295062",SDA 3368/ POR RESMAS PAPEL CARTA  entrega parcializada Y CUADERNOS UNIVERSITARIOS,Julio/2024,718855
I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,,San Pedro de La Paz,Región del Biobío ,"-36.84142335,-73.10317815295062",SDA 3453/ RESMAS DE PAPEL PARA JPL (compra ágil 2785-319-COT24),Julio/2024,451617
I MUNICIPALIDAD DE TEMUCO,Arturo Prat 650.,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289",Orden de Compra: 1658-2206-CM24   solicitud. NRO 605 RESMAS PAPEL,Julio/2024,6485369
I MUNICIPALIDAD DE VILLARRICA,"General Urrutia N°375, DAEM",Villarrica,Región de la Araucanía ,"-39.2834528,-72.22640737221154","Adquisición de papel Fotocopia tamaño Oficio y Carta para la Escuela Voipir de Ñancul, Fondos SEP",Julio/2024,1620720
Ilustre Municipalidad de El Carmen,,El Carmen,Región del Ñuble,"-36.8971258,-72.0269144",PAPEL IMPRESION CARTA PARA ESCUELA ELISE MOTTART REQ 960228-61(482) ,Julio/2024,1062075
JUNTA NACIONAL DE JARDINES         INFANTILES,ENVIAR A DIRECCIONES DE PLANILLA ADJUNTA,Temuco,Región de la Araucanía ,"-33.4405481,-70.6539241",PLAN. - ADQUISICION DE RESMAS DE PAPEL OFICIO PARA IMPRESION Y FOTOCOPIAS PARA DIRECCION REGIONAL - SC 55.009,Julio/2024,1867978
SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,,Cerro Navia,Región Metropolitana de Santiago,"0,0","PAPEL FOTOCOPIA TAMAÑO A3 RESMA. ID 5188-312-COT24 (AG,TRANSV.,2204001,EEF)",Julio/2024,1473220
UNIVERSIDAD DE CHILE,Avda. José Pedro Alessandri 685,Ñuñoa,Región Metropolitana de Santiago,"-33.443867,-70.6506654",5539-6-LP24 	Impresión Papelería Proceso de Admisión 2025,Julio/2024,36394791
UNIVERSIDAD DE LA FRONTERA,,Temuco,Región de la Araucanía ,"-38.748060499999994,-72.61829051629903",P/A SERVICIO DE IMPRESIÓN DE PAPELERÍA PARA EVENTOS CULTURALES compra ágil: 5586-1828-COT24,Julio/2024,1938510
UNIVERSIDAD DE MAGALLANES,Avenida Bulnes 01855,Punta Arenas,Región de Magallanes y de la Antártica,"-53.13621475,-70.87874391238793",Compra de papel de impresión para stock de Bodega central de la UMAG SOL.144610,Julio/2024,3424463
UNIVERSIDAD DE TARAPACA,Jose Santos Leiva 070,Arica,Región de Arica y Parinacota,"-18.4901565,-70.2961677979052",Adquisición de papel fotocopia tamaño carta para la Dirección de Calidad Institucional UTA.,Julio/2024,199600
Cámara de Diputados de Chile,Av. Argentina esq. Pedro Montt s/n° . Edif. Congreso Nacional,Valparaíso,Región de Valparaíso ,"-33.0478095,-71.60494215739004",REPOSICION DE STOCK PAPEL FOTOCOPIA,Marzo/2024,3645922
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6266115,-73.4609456","TINTAS, TONER Y PAPEL FOTOCOPIA",Marzo/2024,7986864
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,,,"-37.47112635,-72.35064063866517",RESMA PAPEL CARTA Y OFICIO PARA LICEO COEDUCACIONAL A-61,Marzo/2024,4813550
I MUNICIPALIDAD DE LOS LAGOS,San Martin  1,Los Lagos,Región de Los Ríos,"-39.86322795,-72.81662579578243",Compra Resmas Papel / Escuela Nevada.,Marzo/2024,1283594
I MUNICIPALIDAD DE LOS LAGOS,San Martin  1,Los Lagos,Región de Los Ríos,"-39.86322795,-72.81662579578243",Compra Resmas Papel / Liceo Alberto Blest Gana.,Marzo/2024,4583880
I MUNICIPALIDAD DE SALAMANCA,Matilde Salamanca N° 113,Salamanca,Región de Coquimbo ,"-31.781005550000003,-70.96590110000001",RESMAS DE PAPEL TAMAÑO CARTA DESAM ,Marzo/2024,1999200
I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,,San Pedro de La Paz,Región del Biobío ,"-36.84142335,-73.10317815295062", SDA 2856/ RESMAS DE PAPEL FOTOCOPIA - PROGRAMA ACOMPAÑAMIENTO FAMILIAR (compra ágil 2785-90-COT24),Marzo/2024,86156
I MUNICIPALIDAD DE SANTA JUANA,,Santa Juana,Región del Biobío ,"-37.1744663,-72.9367769",ADQ. DE PAPEL PARA IMPRESORA DESTINADO AL DPTO. DE SALUD DE SANTA JUANA,Marzo/2024,441252
I MUNICIPALIDAD DE TEMUCO,Gral. Aldunate #51,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289","SCHC N°24 ADQUISICIÓN DE (200) LIBRO DE REGISTRO CORRESPONDENCIA 100 HOJAS, (800) RESMA PAPEL OFICIO 500 HOJAS Y (790) RESMA PAPEL CARTA 500 HOJAS PROYECTADO POR 3 MESES (MARZO-MAYO) PARA STOCK BODEGA GENERAL ",Marzo/2024,6377246
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 2 SP 94218, SEP, ESCUELA LAS ÁNIMAS, ADQUISICIÓN RESMAS DE PAPEL PARA IMPRESIÓN Orden de Compra generada por invitación a compra ágil: 2280-134-COT24",Marzo/2024,859478
ILUSTRE MUNICIPALIDAD DE PICHILEMU,CARRERA 855,Pichilemu,Región del Libertador General Bernardo O´Higgins,"-34.387141099999994,-72.0044445","RESMAS DE PAPEL PARA DEPTO DE SALUD, PICHILEMU.",Marzo/2024,247853
SERVICIO DE VIVIENDA Y URBANIZACION IX REGION,OHIGGINS Nº 827,Temuco,Región de la Araucanía ,"-0.2575113,-79.1605787",PAPEL MULTIUSO TAMAÑO CARTA,Marzo/2024,1698725
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,Puerto Varas,Región de los Lagos ,"0,0",Adjudicacion compra de resmas Papel Oficio para el Juzgado de Familia Puerto Varas,Marzo/2024,200812
I MUNICIPALIDAD DE LAGO RANCO,Viña del  Mar  345 ,Lago Ranco,Región de Los Ríos,"-40.32062645,-72.48012016715423",RESMAS DE PAPEL: 3141-84-CM24,Marzo/2024,1131690
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",OC NP N°1 SEP LMDE RESMAS  PAPEL 2294-92-CM24,Marzo/2024,1638987
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",PAPEL IMPRESION SUBDEPTO GESTION DEL PERSONAL DAEM // SUBV. REGULAR // Orden de Compra: 2294-98-CM24,Marzo/2024,896719
I MUNICIPALIDAD DE TEMUCO,Arturo Prat 650.,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289",Orden de Compra: 1658-689-CM24  CONV MARCO  S14 RESMAS PAPEL,Marzo/2024,1489975
Ilustre Municipalidad de Yerbas Buenas,Avda. Centenario 101,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",RESMAS DE PAPEL PARA EL DAEM,Marzo/2024,615587
I MUNICIPALIDAD DE ANGOL,Yeli 80,Angol,Región de la Araucanía ,"-37.797137000000006,-72.71119037694166",WRC Adquisición de papel de impresión para la Escuela Villa Huequén ,Marzo/2024,1297933
I MUNICIPALIDAD DE LA LIGUA,Portales 555 La Ligua,La Ligua,Región de Valparaíso ,"-32.450082699999996,-71.2314441988971",ADQUISICION RESMAS DE PAPEL TAMAÑO CARTA Y OFICIO,Marzo/2024,295000
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6266115,-73.4609456",TINTAS Y PAPEL FOTOCOPIA,Marzo/2024,6251665
I MUNICIPALIDAD DE LOS ANGELES,,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQUISICION DE PAPEL IMPRESIÓN CARTA Y OFICIO PARA ALUMNOS PIE ESCUELA F-887 ISLA DEL LAJA.,Marzo/2024,376992
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",PAPEL PARA IMPRESIÓN DE MATERIAL PEDAGÓGICO LICEO COMERCIAL B-64,Marzo/2024,4649092
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","5, SP. 94454- SEP – LICEO TECNICO – ADQUISICIÓN RESMAS DE PAPEL Orden de Compra generada por invitación a compra ágil: 2280-152-COT24",Marzo/2024,931175
ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL,"Av. Carrascal 4447, Quinta Normal",Quinta Normal,Región Metropolitana de Santiago,"-33.4220771,-70.6938233",SP 040. ESCUELA REINO DE NORUEGA: ADQUISICIÓN DE RESMAS DE PAPEL - CTA. BANCARIA N° 9583262 SEP. O/C INT. 040,Marzo/2024,1701462
